"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Lonnie Walker IV,,1.8,1.2,0.8,0.4,0.3,0.3,0.0
Justin Anderson,81.6,1.9,1.2,1.1,0.4,0.4,-0.1,
John Warren,80.2,1.7,0.9,0.8,0.5,0.3,,
A.J. Price,79.2,2.2,1.2,0.7,0.3,0.3,0.0,
Shaquille Harrison,78.9,1.5,1.4,0.8,0.3,0.2,0.0,0.0
Troy Daniels,78.2,1.4,1.3,1.1,0.6,0.3,0.2,0.2
Corky Devlin,76.7,1.8,1.2,0.8,,,,
Patrick McCaw,76.7,1.7,1.4,0.6,0.5,0.1,,
Mo Layton,76.6,1.9,1.1,1.0,0.3,0.1,,
Chris Carr,76.4,1.7,1.1,0.9,0.3,0.2,-0.3,
Nik Stauskas,73.8,1.4,1.1,0.5,0.5,0.3,0.1,
