"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Darius Miller,,3.0,1.6,0.8,0.6,0.5,-0.1,,,,
Barney Cable,86.4,3.3,1.6,0.7,0.4,0.3,0.1,,,,
Lou Amundson,85.6,2.9,1.8,1.0,0.6,0.3,0.1,0.1,0.1,0.1,-0.1
Ike Diogu,83.6,2.6,1.5,1.0,0.7,0.7,0.0,,,,
Lorenzo Williams,82.6,3.1,1.7,1.1,0.4,0.4,0.3,0.3,,,
Mark Strickland,81.8,2.8,2.2,1.0,0.6,0.5,0.0,0.0,0.0,,
Marquese Chriss,81.5,3.4,1.8,0.8,0.7,0.0,-0.2,,,,
Stanislav Medvedenko,81.5,3.0,1.8,0.5,0.4,0.2,0.1,0.0,,,
Simmie Hill,81.4,3.1,1.6,1.2,1.0,,,,,,
Chris Crawford,81.1,2.7,1.3,0.9,0.6,0.6,0.2,0.1,,,
Rory White,81.1,2.6,1.5,1.0,1.0,0.4,,,,,
