"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Darius Miller,,3.0,1.6,0.8,0.6,0.5,-0.1
Barney Cable,86.4,3.3,1.6,0.7,0.4,0.3,0.1
Lou Amundson,85.7,2.9,1.8,1.0,0.6,0.1,0.1
Lorenzo Williams,85.2,3.1,1.7,1.1,0.4,0.4,0.3
Terry Davis,84.9,3.1,2.0,0.5,0.5,0.4,-0.1
Ike Diogu,83.6,2.6,1.5,1.0,0.7,0.7,0.0
Walter McCarty,82.7,2.9,1.8,0.7,0.5,0.0,-0.2
George Lee,82.3,2.6,1.7,1.2,0.6,0.4,0.1
Dave Piontek,82.0,3.7,1.4,1.1,0.8,0.5,-0.1
Marquese Chriss,81.5,3.4,1.8,0.8,0.7,0.0,-0.2
Stanislav Medvedenko,81.5,3.0,1.8,0.5,0.4,0.1,0.0
