"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Scottie Barnes,,6.6,5.0,4.3,3.5
Immanuel Quickley,97.2,6.7,4.7,4.2,3.2
Paul Neumann,95.5,6.5,4.6,4.2,3.2
Nate McMillan,95.3,6.5,4.9,4.4,4.1
Willie Anderson,94.5,6.5,4.9,4.8,3.3
Damon Stoudamire,92.8,7.6,4.7,4.3,3.6
Rod Strickland,92.4,5.7,5.2,4.3,3.7
Joe Dumars,92.3,7.0,5.9,4.2,3.2
Bob Donham,92.2,6.1,4.5,3.8,3.5
Johnny Moore,91.7,6.6,5.8,3.8,3.2
Dick McGuire,91.5,6.6,5.3,4.7,4.5
