"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Josh Childress,,7.6,5.7,5.5,4.6,1.4,0.9,0.1,0.0,,,
Andrew Toney,88.1,7.3,6.4,5.5,4.0,2.2,1.2,0.5,-0.2,,,
Larry Brown,85.8,6.6,5.8,5.1,5.0,2.4,,,,,,
Jeff McInnis,85.2,6.9,5.1,4.9,4.1,1.1,0.3,0.3,0.2,0.1,0.1,-0.1
Dick Garmaker,84.8,7.5,4.7,4.6,4.4,3.1,1.3,,,,,
Gene Littles,84.6,7.7,4.8,4.2,3.6,1.6,1.4,,,,,
Mahmoud Abdul-Rauf,83.9,6.8,5.5,5.1,5.0,2.7,0.7,0.6,-0.3,-1.0,,
Tyrese Maxey,83.5,8.1,7.3,5.4,3.8,1.9,,,,,,
Anthony Parker,83.4,6.5,6.2,4.9,3.4,1.5,1.4,0.4,0.2,0.0,,
Austin Reaves,83.2,7.6,5.9,5.4,2.9,,,,,,,
Eric Murdock,83.0,7.2,6.1,4.3,4.1,2.5,0.6,0.4,0.3,0.1,,
