"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 24_level_0', 'Awards')"
2019-20,22,DET,NBA,PG,10.0,0.0,53.0,0.25,0.3,0.2,0.3,0.3,0.0,0.5,54.0,57.0,56.0,57.0,53.0,0.0,130.0,-9.2,-10.6,
2020-21,23,ORL,NBA,PG,14.0,0.0,196.0,0.426,0.591,0.313,0.519,0.519,0.0,0.593,91.0,111.0,85.0,96.0,91.0,0.0,151.0,-2.1,-5.8,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,24.0,0.0,249.0,0.378,0.5,0.286,0.459,0.459,0.0,0.568,82.0,95.0,78.0,86.0,81.0,0.0,146.0,-11.3,-16.4,
,,,,,,,,,,,,,,,,,,,,,,,,
ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),,14.0,0.0,196.0,0.426,0.591,0.313,0.519,0.519,0.0,0.593,91.0,111.0,85.0,96.0,91.0,0.0,151.0,-2.1,-5.8,
DET (1 Yr),DET (1 Yr),DET (1 Yr),DET (1 Yr),,10.0,0.0,53.0,0.25,0.3,0.2,0.3,0.3,0.0,0.5,54.0,57.0,56.0,57.0,53.0,0.0,130.0,-9.2,-10.6,
