"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Jaden Hardy,,0.7,0.3,-0.3,
Sergey Karasev,75.0,0.7,0.3,-0.1,
Raymond Townsend,66.7,0.8,0.4,-0.2,
Glenn Hansen,63.4,0.8,0.4,-0.1,
Andre McCarter,54.8,0.8,0.3,0.0,
Derrick Walton,52.9,0.6,0.4,-0.2,
MarJon Beauchamp,52.6,0.7,0.4,0.1,
Greg Sutton,50.1,0.8,0.2,-0.1,
Phil Pressey,46.7,0.8,0.1,-0.1,
Jared Rhoden,44.9,0.6,0.3,0.1,
Admiral Schofield,41.7,0.8,0.3,0.1,0.0
