"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Daniel Gafford,,7.8,6.1,6.0,5.9,3.5,1.9
Mitchell Robinson,91.4,8.5,6.8,6.5,6.1,3.4,2.5
Emeka Okafor,89.4,8.2,7.1,5.8,5.5,4.0,1.0
Jakob Poeltl,89.4,6.9,5.7,5.6,5.1,4.0,1.6
DeMarcus Cousins,88.8,7.9,6.0,5.7,4.4,4.2,1.1
Deandre Ayton,88.6,8.4,7.3,6.2,5.8,3.9,3.1
Andrew Bogut,87.9,7.5,5.5,5.4,4.8,4.0,2.6
Nate Thurmond,87.6,7.2,6.5,6.1,5.2,4.3,3.5
Al Jefferson,87.1,7.7,6.6,4.9,4.6,2.7,2.3
Neal Walk,86.6,7.1,6.8,6.1,5.1,2.1,1.2
Andrew Bynum,86.5,7.8,6.6,5.5,4.8,4.2,0.1
