"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Jaden Springer,,0.6,0.5,0.3,0.0,
K.J. McDaniels,92.7,0.6,0.5,0.2,,
DeAndre Liggins,82.3,0.6,0.5,0.5,0.0,0.0
Kennard Winchester,79.8,0.5,0.4,0.3,,
Frank Mason III,79.6,0.5,0.4,0.3,0.0,
Darrin Hancock,78.7,0.5,0.4,0.2,,
Dylan Windler,75.5,0.8,0.5,0.3,0.0,
Mario West,73.9,0.5,0.4,0.3,0.2,
Dru Smith,72.3,0.7,0.3,0.3,,
DaQuan Jeffries,70.4,0.6,0.3,0.3,0.0,-0.1
Jordan McRae,69.8,0.7,0.5,0.4,0.2,
