"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 24_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 27_level_0', 'Awards')"
2021-22,19,PHI,NBA,SG,5.0,0.0,13.0,0.5,11.6,0.833,0.167,0.167,0.5,0.0,0.167,0.6,1.0,1.0,0.333,0.0,0.333,0.167,1.0,0.0,0.0,0.0,
2022-23,20,PHI,NBA,SG,4.0,0.0,17.0,1.0,11.1,1.0,0.25,0.0,0.75,0.0,0.0,1.0,1.0,,1.0,,0.25,0.25,1.0,,0.0,0.0,
2023-24,21,BOS,NBA,SG,4.0,0.0,22.0,0.667,2.7,1.0,0.667,0.333,0.0,0.0,0.0,0.667,0.5,1.0,,,0.0,0.0,0.0,,0.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,13.0,0.0,52.0,0.692,8.5,0.923,0.308,0.154,0.462,0.0,0.077,0.75,0.75,1.0,0.667,0.0,0.222,0.154,2.0,0.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,0.0,328.0,0.692,8.5,0.923,0.308,0.154,0.462,0.0,0.077,0.75,0.75,1.0,0.667,0.0,0.222,0.154,13.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHI (2 Yrs),PHI (2 Yrs),PHI (2 Yrs),PHI (2 Yrs),,9.0,0.0,30.0,0.7,11.3,0.9,0.2,0.1,0.6,0.0,0.1,0.778,1.0,1.0,0.667,0.0,0.286,0.2,2.0,0.0,0.0,0.0,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,4.0,0.0,22.0,0.667,2.7,1.0,0.667,0.333,0.0,0.0,0.0,0.667,0.5,1.0,,,0.0,0.0,0.0,,0.0,0.0,
