"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Keldon Johnson,,4.9,3.3,3.2,3.0,1.3,1.1
Kevin Huerter,92.0,4.9,3.6,2.9,2.8,1.6,1.5
Johnny Egan,91.0,5.1,3.6,3.2,3.1,1.3,0.0
Herm Gilliam,90.3,4.9,3.4,2.9,2.5,1.4,0.4
Jeremy Lamb,88.9,4.9,3.3,2.7,2.7,1.6,0.2
Nate Robinson,87.7,5.9,3.2,3.2,2.2,1.5,1.1
Carlos Delfino,87.6,4.8,4.0,3.5,2.9,1.0,0.5
Chico Vaughn,87.0,4.9,3.4,3.4,2.3,0.8,0.4
Jamaal Tinsley,86.3,4.4,3.7,2.8,2.8,1.7,0.7
Darnell Valentine,86.3,5.0,3.7,3.4,1.7,1.1,1.0
Gerald Henderson,86.1,5.3,3.7,3.6,2.3,1.7,1.3
