"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Keldon Johnson,,4.9,3.3,3.2,3.0,1.3,1.1,,,
Malik Sealy,86.8,5.5,3.2,3.2,2.1,1.2,1.1,0.6,0.2,
Adrian Griffin,86.0,3.9,3.5,2.9,2.9,1.3,1.3,0.4,0.1,0.0
Tre Jones,85.6,4.9,3.4,2.9,2.9,0.4,,,,
TomÃ¡Å¡ SatoranskÃ½,85.4,5.0,4.7,3.5,3.1,1.0,0.6,,,
Art Williams,85.2,4.4,3.4,3.1,2.8,2.7,1.2,0.1,0.0,
Larry Miller,84.7,6.2,3.4,3.2,3.0,2.4,1.3,0.0,,
Fred Jones,84.6,4.8,4.0,2.6,2.2,1.6,1.2,0.0,,
Kevin Huerter,83.8,4.9,3.6,2.9,2.8,1.9,1.6,1.5,,
Chico Vaughn,83.7,4.9,3.4,3.4,2.3,2.3,0.8,0.4,0.4,
Eric Money,83.6,4.2,3.6,3.3,2.7,0.6,0.3,,,
