"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Joey Dorsey,,1.9,0.8,0.1,0.0,
Bill Bunting,92.9,2.0,0.7,0.0,,
Ron Bonham,89.6,1.8,0.7,0.2,,
Billy Schaeffer,87.9,1.9,0.8,0.5,,
Alfonzo McKinnie,87.4,2.1,0.8,0.2,0.1,-0.1
Kai Jones,86.0,2.1,0.7,0.0,,
Chris McNealy,86.0,1.6,0.8,0.2,,
Ryan Kelly,83.9,2.2,0.7,0.1,0.1,
Bernard Thompson,83.8,2.1,0.9,0.2,0.1,0.0
T.J. Leaf,83.4,1.6,0.8,0.3,0.0,
Ron Riley,83.4,1.6,0.7,0.2,0.0,
