"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2017-18,22,MIL,NBA,SG,3.0,0.0,13.0,0.6,16.6,0.4,0.2,0.0,0.2,0.0,0.6,1.0,1.0,,1.0,0.333,1.0,1.0,0.0,0.0,0.667,0.5,0.0,0.0,
2018-19,23,MIL,NBA,SG,11.0,5.0,162.0,0.395,15.4,0.447,0.289,0.132,0.026,0.0,0.553,0.471,0.636,0.2,0.0,0.333,0.625,1.0,0.053,2.0,0.429,0.333,0.0,0.0,
2019-20,24,MIL,NBA,SF,1.0,0.0,4.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,26,DAL,NBA,SG,9.0,0.0,26.0,0.3,13.6,0.6,0.1,0.5,0.0,0.0,0.4,0.5,1.0,0.4,,0.0,1.0,,0.0,0.0,0.25,0.0,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,24.0,5.0,205.0,0.389,17.3,0.463,0.241,0.185,0.037,0.0,0.537,0.52,0.692,0.3,0.5,0.276,0.769,1.0,0.037,2.0,0.448,0.308,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,17.0,700.0,0.389,17.3,0.463,0.241,0.185,0.037,0.0,0.537,0.52,0.692,0.3,0.5,0.276,0.769,1.0,0.037,7.0,0.448,0.308,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIL (3 Yrs),MIL (3 Yrs),MIL (3 Yrs),MIL (3 Yrs),,15.0,5.0,179.0,0.409,18.6,0.432,0.273,0.114,0.045,0.0,0.568,0.526,0.667,0.2,0.5,0.32,0.7,1.0,0.045,2.0,0.48,0.333,0.0,0.0,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,9.0,0.0,26.0,0.3,13.6,0.6,0.1,0.5,0.0,0.0,0.4,0.5,1.0,0.4,,0.0,1.0,,0.0,0.0,0.25,0.0,0.0,0.0,
