"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Unnamed: 19_level_0', 'Shoot')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 23_level_0', 'Awards')"
2000-01,23,SAC,NBA,C,9,0,66,0,0,0,78,22,1.2,-5.1,2,1,3,0,2,16,0,0,
2001-02,24,2TM,NBA,C,23,0,181,0,0,0,53,47,5.9,1.6,2,1,15,0,12,22,2,1,
2001-02,24,SAC,NBA,C,12,0,71,0,0,0,35,65,5.4,-2.6,1,0,8,0,4,12,0,0,
2001-02,24,PHI,NBA,C,11,0,110,0,0,0,65,35,6.2,4.3,1,1,7,0,8,10,2,1,
2002-03,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2003-04,26,SAC,NBA,C,31,0,168,0,0,0,29,71,-13.2,-19.6,2,0,15,3,7,24,0,6,
2004-05,27,NJN,NBA,PF,45,2,648,0,0,0,68,31,-10.6,-10.7,23,9,58,6,25,86,3,12,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,108,2,1063,0,0,0,60,40,-7.5,-9.7,29,11,91,9,46,148,5,19,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,2,807,0,0,0,60,40,-7.5,-9.7,22,8,69,7,35,112,4,14,
,,,,,,,,,,,,,,,,,,,,,,,
SAC (3 Yrs),SAC (3 Yrs),SAC (3 Yrs),SAC (3 Yrs),,52,0,305,0,0,0,41,59,-5.8,-12.5,5,1,26,3,13,52,0,6,
NJN (1 Yr),NJN (1 Yr),NJN (1 Yr),NJN (1 Yr),,45,2,648,0,0,0,68,31,-10.6,-10.7,23,9,58,6,25,86,3,12,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,11,0,110,0,0,0,65,35,6.2,4.3,1,1,7,0,8,10,2,1,
