"('Thru 13 Years', 'Player')","('Thru 13 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Earl Watson,,2.9,2.7,2.6,2.3,2.3,2.0,1.8,1.5,1.0,0.4,0.0,-0.1,-0.2
Nick Young,89.2,3.2,2.8,2.5,2.3,1.9,1.7,1.4,1.2,1.2,0.4,0.1,0.0,
Evan Turner,85.3,4.0,2.6,2.5,2.4,2.3,2.1,2.0,1.4,1.2,-0.3,,,
Jerryd Bayless,83.1,4.0,2.7,2.4,2.4,2.4,2.0,1.6,1.1,0.3,0.0,-0.1,,
J.J. Barea,82.7,3.3,3.2,2.8,2.7,2.2,2.2,1.9,1.3,1.2,1.0,0.7,0.5,0.1
Tony Snell,82.2,3.4,3.2,2.6,2.4,2.4,2.0,1.6,0.4,0.4,,,,
Garrett Temple,80.2,2.7,2.4,2.2,2.2,1.6,1.5,1.2,1.2,0.8,0.4,0.3,0.3,-0.4
Scott Brooks,79.2,4.6,3.3,2.9,2.7,2.6,2.1,1.9,1.6,1.0,0.7,,,
Steve Colter,78.3,3.3,3.1,2.7,2.6,2.3,1.7,1.4,0.3,,,,,
Tyronn Lue,78.1,3.7,3.7,2.7,2.5,2.1,2.0,1.2,0.8,0.4,0.3,0.2,,
Jordan Clarkson,77.3,4.2,3.5,3.4,3.0,2.4,2.1,1.8,1.7,1.2,0.4,0.2,,
