"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Josh Christopher,,0.3,0.0,-0.1
Sedric Toney,88.3,0.3,0.0,-0.1
Nate Hinton,61.3,0.3,0.0,-0.1
Willie Smith,53.9,0.3,0.0,0.0
Xavier Moon,52.4,0.3,0.0,-0.1
R.J. Hunter,45.0,0.3,0.0,0.0
A.J. Guyton,44.1,0.3,0.1,-0.1
Manny Harris,39.8,0.3,0.0,0.0
Gerald Madkins,36.6,0.3,0.1,0.0
Carsen Edwards,36.2,0.3,0.1,-0.1
Andre Barrett,32.7,0.4,0.0,-0.1
