Season,Team,Lg,Salary
2006-07,Houston Rockets,NBA,"$600,000"
2007-08,Houston Rockets,NBA,"$687,456"
2008-09,Los Angeles Clippers,NBA,"$797,581"
2009-10,Los Angeles Clippers,NBA,"$855,189"
2010-11,Dallas Mavericks,NBA,"$384,766"
2010-11,San Antonio Spurs,NBA,"$350,179"
2011-12,New York Knicks,NBA,"$992,680"
2012-13,New York Knicks,NBA,"$4,054,055"
2013-14,Toronto Raptors,NBA,"$3,750,000"
2014-15,Oklahoma City Thunder,NBA,"$3,445,946"
2015-16,Denver Nuggets,NBA,"$3,750,000"
2015-16,Milwaukee Bucks,NBA,"$416,886"
2016-17,Milwaukee Bucks,NBA,"$1,551,659"
Career,(may be incomplete),,"$21,636,397"
