"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '3P%')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 35_level_0', 'Awards')"
2007-08,24,HOU,NBA,WC1,UTA,L (2-4),3.0,7.0,2.7,0.7,0.0,0.0,0.3,3.0,4.0,0.75,2.0,3.0,0.667,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,8.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,27,SAS,NBA,WC1,MEM,L (2-4),1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-12,28,NYK,NBA,EC1,MIA,L (1-4),5.0,19.0,2.4,3.0,0.0,0.0,0.2,4.0,9.0,0.444,4.0,7.0,0.571,0.0,2.0,0.0,0.667,0.0,0.0,3.0,12.0,15.0,0.0,0.0,1.0,3.0,7.0,12.0,
2012-13,29,NYK,NBA,EC1,BOS,W (4-2),5.0,8.4,3.0,0.8,0.0,0.2,0.0,6.0,10.0,0.6,3.0,6.0,0.5,3.0,4.0,0.75,0.75,0.0,0.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,3.0,15.0,
2012-13,29,NYK,NBA,ECS,IND,L (2-4),4.0,2.0,0.8,0.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,
2013-14,30,TOR,NBA,EC1,BRK,L (3-4),4.0,3.8,0.0,1.3,0.3,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,
5 Yrs (6 Series),5 Yrs (6 Series),5 Yrs (6 Series),5 Yrs (6 Series),5 Yrs (6 Series),5 Yrs (6 Series),1-5,22.0,8.5,1.7,1.2,0.0,0.0,0.1,14.0,29.0,0.483,10.0,22.0,0.455,4.0,7.0,0.571,0.655,0.0,0.0,6.0,21.0,27.0,1.0,1.0,2.0,3.0,14.0,38.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC1 (2 Series),WC1 (2 Series),WC1 (2 Series),WC1 (2 Series),WC1 (2 Series),WC1 (2 Series),0-2,4.0,6.8,2.0,0.8,0.0,0.0,0.3,3.0,4.0,0.75,2.0,3.0,0.667,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,8.0,
EC1 (3 Series),EC1 (3 Series),EC1 (3 Series),EC1 (3 Series),EC1 (3 Series),EC1 (3 Series),1-2,14.0,10.9,1.9,1.7,0.1,0.1,0.1,10.0,22.0,0.455,7.0,16.0,0.438,3.0,6.0,0.5,0.614,0.0,0.0,5.0,19.0,24.0,1.0,1.0,1.0,3.0,10.0,27.0,
ECS (1 Series),ECS (1 Series),ECS (1 Series),ECS (1 Series),ECS (1 Series),ECS (1 Series),0-1,4.0,2.0,0.8,0.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,
