Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2007-08,24,HOU,NBA,SF,3.0,0.0,21.0,3.0,4.0,0.75,2.0,3.0,0.667,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,27,SAS,NBA,SF,1.0,0.0,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-12,28,NYK,NBA,PF,5.0,1.0,95.0,4.0,9.0,0.444,4.0,7.0,0.571,0.0,2.0,0.0,0.667,0.0,0.0,3.0,12.0,15.0,0.0,0.0,1.0,3.0,7.0,12.0,0.0,
2012-13,29,NYK,NBA,SF,9.0,0.0,50.0,7.0,13.0,0.538,4.0,9.0,0.444,3.0,4.0,0.75,0.692,0.0,0.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,5.0,18.0,0.0,
2013-14,30,TOR,NBA,PF,4.0,0.0,15.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,22.0,1.0,187.0,14.0,29.0,0.483,10.0,22.0,0.455,4.0,7.0,0.571,0.655,0.0,0.0,6.0,21.0,27.0,1.0,1.0,2.0,3.0,14.0,38.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,4.0,697.0,52.0,108.0,0.483,37.0,82.0,0.455,15.0,26.0,0.571,0.655,0.0,0.0,22.0,78.0,101.0,4.0,4.0,7.0,11.0,52.0,142.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),,14.0,1.0,145.0,11.0,22.0,0.5,8.0,16.0,0.5,3.0,6.0,0.5,0.682,0.0,0.0,5.0,14.0,19.0,0.0,1.0,1.0,3.0,12.0,30.0,0.0,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,4.0,0.0,15.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,3.0,0.0,21.0,3.0,4.0,0.75,2.0,3.0,0.667,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,
SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),,1.0,0.0,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
