"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 26_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2012-13,23,MEM,NBA,PF,5.0,0.0,11.0,0.5,17.3,1.0,0.0,0.0,0.5,0.5,0.0,0.5,,,1.0,0.0,,1.0,,0.0,0.0,,0.0,0.0,
2013-14,24,MEM,NBA,PF,3.0,0.0,23.0,0.429,12.9,0.714,0.286,0.286,0.0,0.143,0.286,0.4,1.0,0.0,,0.0,0.5,0.5,1.0,0.143,1.0,0.0,0.0,0.0,
2014-15,25,MEM,NBA,PF,4.0,0.0,9.0,0.5,2.9,1.0,0.5,0.5,0.0,0.0,0.0,0.5,1.0,0.0,,,,1.0,,0.25,1.0,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,29,DET,NBA,PF,1.0,0.0,5.0,0.5,7.2,1.0,0.5,0.0,0.5,0.0,0.0,0.5,1.0,,0.0,,,1.0,,0.5,1.0,,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,13.0,0.0,48.0,0.467,10.1,0.867,0.333,0.267,0.133,0.133,0.133,0.462,1.0,0.0,0.5,0.0,0.5,0.833,1.0,0.2,3.0,0.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,0.0,303.0,0.467,10.1,0.867,0.333,0.267,0.133,0.133,0.133,0.462,1.0,0.0,0.5,0.0,0.5,0.833,1.0,0.2,19.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEM (3 Yrs),MEM (3 Yrs),MEM (3 Yrs),MEM (3 Yrs),,12.0,0.0,43.0,0.462,11.0,0.846,0.308,0.308,0.077,0.154,0.154,0.455,1.0,0.0,1.0,0.0,0.5,0.8,1.0,0.154,2.0,0.0,0.0,0.0,
DET (1 Yr),DET (1 Yr),DET (1 Yr),DET (1 Yr),,1.0,0.0,5.0,0.5,7.2,1.0,0.5,0.0,0.5,0.0,0.0,0.5,1.0,,0.0,,,1.0,,0.5,1.0,,0.0,0.0,
