"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')"
Klay Thompson,,8.8,8.0,7.1,6.7,5.3,4.9,4.3,3.6,3.1,1.8,1.8,1.7,,,,
Randy Smith,92.8,9.4,7.9,7.2,6.4,5.8,5.7,4.2,3.3,3.0,2.5,2.4,2.2,,,,
Avery Johnson,92.7,9.1,8.0,6.7,6.3,5.2,4.1,3.9,3.4,3.0,2.6,1.6,1.3,0.5,0.4,0.3,0.2
Latrell Sprewell,91.5,8.1,8.0,6.6,5.7,5.5,5.1,4.0,3.2,3.0,2.8,2.0,1.9,0.4,,,
Muggsy Bogues,90.8,8.6,6.7,6.4,5.9,5.0,4.8,4.8,3.7,2.6,2.3,1.7,1.7,0.0,-0.1,,
Vern Fleming,90.0,8.4,7.0,6.9,6.7,5.6,4.4,3.3,2.9,2.0,1.9,1.6,1.4,,,,
JosÃ© CalderÃ³n,89.9,10.2,7.5,7.4,6.3,5.4,5.1,4.2,4.0,3.7,1.8,0.9,0.9,0.6,0.3,,
Goran DragiÄ,89.9,10.3,7.5,6.8,5.7,5.3,5.1,4.7,3.5,2.8,1.6,1.3,1.0,0.4,0.4,0.1,
Allan Houston,89.6,8.6,7.5,7.2,7.1,6.1,4.7,4.7,3.8,3.1,2.9,0.7,-1.2,,,,
Alvin Robertson,89.4,8.6,7.7,7.5,5.8,5.3,4.4,3.6,3.4,3.1,2.8,,,,,,
Bradley Beal,89.3,8.5,7.6,6.9,5.9,5.1,4.0,3.9,3.7,3.4,3.0,2.7,2.4,1.4,,,
