"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Sergio RodrÃ­guez,,1.7,1.2,0.9,0.7,-0.2
Al Bianchi,86.1,1.8,1.5,0.8,0.8,-0.1
Donnie Butcher,85.1,1.9,1.2,1.1,0.5,-0.3
Kevin McKenna,82.1,1.7,0.9,0.7,0.6,-0.3
Justin Anderson,81.3,1.9,1.2,1.1,0.4,-0.1
Mike Davis,80.9,2.2,1.2,0.9,0.6,
Talen Horton-Tucker,79.5,2.1,1.1,0.8,0.8,0.1
Lloyd Walton,79.5,1.9,1.1,1.1,1.1,0.1
Michael Carter-Williams,78.1,1.3,1.2,0.9,0.8,0.2
Mo Layton,77.5,1.9,1.1,1.0,0.3,0.1
Todd Lichti,76.3,1.8,1.3,1.2,1.0,0.2
