"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '3P%')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 36_level_0', 'Awards')"
2016-17,21,TOR,NBA,EC1,MIL,W (4-2),4.0,4.3,1.5,2.0,0.0,0.3,0.0,3.0,7.0,0.429,0.0,0.0,,3.0,7.0,0.429,0.429,0.0,2.0,0.0,4.0,4.0,8.0,0.0,1.0,0.0,0.0,3.0,6.0,
2016-17,21,TOR,NBA,ECS,CLE,L (0-4),2.0,5.0,2.0,2.0,0.0,0.0,0.5,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,0.0,0.0,,2.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,
2017-18,22,TOR,NBA,EC1,WAS,W (4-2),6.0,16.0,6.2,4.3,0.8,0.3,0.5,14.0,22.0,0.636,0.0,1.0,0.0,14.0,21.0,0.667,0.636,9.0,13.0,0.692,12.0,14.0,26.0,5.0,2.0,3.0,7.0,20.0,37.0,
2017-18,22,TOR,NBA,ECS,CLE,L (0-4),3.0,14.7,4.0,3.3,0.3,0.3,0.3,3.0,9.0,0.333,0.0,0.0,,3.0,9.0,0.333,0.333,6.0,6.0,1.0,3.0,7.0,10.0,1.0,1.0,1.0,1.0,5.0,12.0,
2018-19,23,SAS,NBA,WC1,DEN,L (3-4),7.0,25.3,7.3,7.7,1.7,0.3,0.7,23.0,36.0,0.639,0.0,1.0,0.0,23.0,35.0,0.657,0.639,5.0,9.0,0.556,25.0,29.0,54.0,12.0,2.0,5.0,3.0,26.0,51.0,
3 Yrs (5 Series),3 Yrs (5 Series),3 Yrs (5 Series),3 Yrs (5 Series),3 Yrs (5 Series),3 Yrs (5 Series),2-3,22.0,15.6,5.0,4.6,0.8,0.3,0.5,45.0,78.0,0.577,0.0,2.0,0.0,45.0,76.0,0.592,0.577,20.0,30.0,0.667,46.0,56.0,102.0,18.0,6.0,10.0,11.0,54.0,110.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),0-1,7.0,25.3,7.3,7.7,1.7,0.3,0.7,23.0,36.0,0.639,0.0,1.0,0.0,23.0,35.0,0.657,0.639,5.0,9.0,0.556,25.0,29.0,54.0,12.0,2.0,5.0,3.0,26.0,51.0,
EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),2-0,10.0,11.3,4.3,3.4,0.5,0.3,0.3,17.0,29.0,0.586,0.0,1.0,0.0,17.0,28.0,0.607,0.586,9.0,15.0,0.6,16.0,18.0,34.0,5.0,3.0,3.0,7.0,23.0,43.0,
ECS (2 Series),ECS (2 Series),ECS (2 Series),ECS (2 Series),ECS (2 Series),ECS (2 Series),0-2,5.0,10.8,3.2,2.8,0.2,0.2,0.4,5.0,13.0,0.385,0.0,0.0,,5.0,13.0,0.385,0.385,6.0,6.0,1.0,5.0,9.0,14.0,1.0,1.0,2.0,1.0,5.0,16.0,
