Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2007-08,22,WAS,NBA,SG,3,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.5,0.3,0.7,1.0,0.3,0.3,0.3,0.0,0.3,0.3,
1 Yr,1 Yr,1 Yr,1 Yr,,3,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.5,0.3,0.7,1.0,0.3,0.3,0.3,0.0,0.3,0.3,
