"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Dominic McGuire,,1.7,1.5,0.9,0.3,0.0,-0.2,
Charles Pittman,88.2,1.7,1.5,0.9,0.1,,,
Thomas Robinson,85.9,1.6,1.5,0.9,0.6,-0.1,,
Jan VeselÃ½,80.6,1.7,1.6,0.7,,,,
Terry Driscoll,78.7,1.7,1.7,1.5,0.3,0.0,,
Rafael Addison,78.1,1.5,1.5,0.9,0.4,0.4,0.2,
Yuta Watanabe,78.1,2.1,1.5,0.7,0.1,-0.1,-0.2,
Lamar Stevens,78.0,1.9,1.6,0.8,0.4,0.2,,
Cliff Meely,77.7,1.8,1.2,1.0,0.4,0.2,,
Andrew Nicholson,77.7,1.7,1.6,0.6,0.1,-0.1,,
Tony Brown,76.8,1.8,1.3,0.9,0.5,0.2,0.2,0.0
