Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2007-08,22,WAS,NBA,SG,3,0,15,0.0,0.0,0.0,0.0,0.0,0.0,2.4,4.8,0.5,2.4,4.8,7.2,2.4,2.4,2.4,0.0,2.4,2.4,
1 Yr,1 Yr,1 Yr,1 Yr,,3,0,15,0.0,0.0,0.0,0.0,0.0,0.0,2.4,4.8,0.5,2.4,4.8,7.2,2.4,2.4,2.4,0.0,2.4,2.4,
