Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2007-08,22,WAS,NBA,SG,3,0,15,0,0,0,0,0,0,1,2,0.5,1,2,3,1,1,1,0,1,1,0,
1 Yr,1 Yr,1 Yr,1 Yr,,3,0,15,0,0,0,0,0,0,1,2,0.5,1,2,3,1,1,1,0,1,1,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,410,0,0,0,0,0,0,27,55,0.5,27,55,82,27,27,27,0,27,27,0,
