SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,SPOT_FIFTEEN_CORNER_LEFT,SPOT_FIFTEEN_BREAK_LEFT,SPOT_FIFTEEN_TOP_KEY,SPOT_FIFTEEN_BREAK_RIGHT,SPOT_FIFTEEN_CORNER_RIGHT,SPOT_COLLEGE_CORNER_LEFT,SPOT_COLLEGE_BREAK_LEFT,SPOT_COLLEGE_TOP_KEY,SPOT_COLLEGE_BREAK_RIGHT,SPOT_COLLEGE_CORNER_RIGHT,SPOT_NBA_CORNER_LEFT,SPOT_NBA_BREAK_LEFT,SPOT_NBA_TOP_KEY,SPOT_NBA_BREAK_RIGHT,SPOT_NBA_CORNER_RIGHT,OFF_DRIB_FIFTEEN_BREAK_LEFT,OFF_DRIB_FIFTEEN_TOP_KEY,OFF_DRIB_FIFTEEN_BREAK_RIGHT,OFF_DRIB_COLLEGE_BREAK_LEFT,OFF_DRIB_COLLEGE_TOP_KEY,OFF_DRIB_COLLEGE_BREAK_RIGHT,ON_MOVE_FIFTEEN,ON_MOVE_COLLEGE
2023,1641725,Trey,Alexander,Trey Alexander,SG,75.25,6' 3.25'',,,184.60,82.0,6' 10.00'',101.5,8' 5.50'',,8.5,8.75,29.5,34.0,11.6,,3.35,,,,,,,17-25,,,,,,,,,,,,,21-30,,,,9-25
2023,1641735,Amari,Bailey,Amari Bailey,SG,75.25,6' 3.25'',,,190.80,79.0,6' 7.00'',103.5,8' 7.50'',,8.0,9.25,28.5,35.0,11.34,,3.19,,,,,,,15-25,,,,,,,,,,,,,24-30,,,,11-25
2023,1641734,Emoni,Bates,Emoni Bates,SF,80.25,6' 8.25'',,,179.20,81.0,6' 9.00'',105.0,8' 9.00'',,8.0,8.25,27.0,32.5,11.54,,3.49,,,,,,,17-25,,,,,,,,,,,,,23-30,,,,19-25
2023,1641736,Reece,Beekman,Reece Beekman,PG,73.5,6' 1.50'',,,190.60,79.0,6' 7.00'',100.5,8' 4.50'',,8.5,8.25,30.5,38.0,10.99,3.33,3.14,,,,,,,12-25,,,,,,,,,,,,,22-30,,,,15-25
2023,1641710,Anthony,Black,Anthony Black,PG,77.75,6' 5.75'',,,210.00,79.5,6' 7.50'',102.5,8' 6.50'',,8.25,9.5,32.0,39.0,11.04,,3.35,,,,,,,,,,,,,,,,,,,,,,,,
2023,1641737,Adem,Bona,Adem Bona,C,80.25,6' 8.25'',,,243.40,,,110.5,9' 2.50'',,9.25,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1641738,Kobe,Brown,Kobe Brown,PF,78.5,6' 6.50'',,,252.20,84.75,7' 0.75'',106.5,8' 10.50'',,8.75,9.75,28.5,32.0,11.39,3.23,3.33,,,,,,,14-25,,,,,,,,,,,,,15-30,,,,11-25
2023,1641723,Kobe,Bufkin,Kobe Bufkin,SG,76.25,6' 4.25'',,,186.80,79.75,6' 7.75'',102.5,8' 6.50'',,8.0,9.25,29.0,36.0,11.71,,3.26,,,,,,,,,,,,,,,,,,,,,,,,
2023,1641739,Toumani,Camara,Toumani Camara,PF,79.0,6' 7.00'',,,220.40,84.5,7' 0.50'',107.0,8' 11.00'',,9.0,10.0,28.5,33.0,10.7,3.19,3.41,,,,,,,15-25,,,,,,,,,,,,,21-30,,,,13-25
2023,1631321,Sidy,Cissoko,Sidy Cissoko,SF,77.5,6' 5.50'',,,223.80,81.75,6' 9.75'',104.0,8' 8.00'',,9.25,10.0,30.5,35.5,11.24,,3.31,,,,,,,,,,,,,,,,,,,,,,,,
