"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
JT Thor,,0.6,0.3,0.2,0.2,,
Adrian Caldwell,82.2,0.4,0.3,0.2,0.1,0.0,0.0
Alex Poythress,82.0,0.5,0.3,0.1,,,
Jamal Sampson,81.3,0.5,0.4,0.2,0.2,0.0,
KZ Okpala,80.8,0.5,0.3,0.1,0.1,,
Anthony Cook,75.2,0.5,0.4,0.1,0.1,,
Rod McDonald,71.7,0.5,0.5,0.2,,,
Bill Curley,70.6,0.7,0.5,0.2,0.2,0.0,
Jaylen Hoard,70.5,0.6,0.5,0.2,,,
Mark Randall,69.6,0.5,0.3,0.2,0.0,,
Devontae Cacok,67.1,0.5,0.3,0.0,,,
