"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Chris Singleton,,1.5,0.5,0.2
Anthony Avent,89.6,1.5,0.4,0.3
Chris McNealy,87.7,1.6,0.8,0.2
Mario Bennett,87.4,1.5,0.5,0.0
Jim Holstein,86.9,1.8,0.6,0.2
Andrew Nicholson,86.7,1.7,0.6,0.1
Josh McRoberts,86.1,1.5,0.4,0.1
Jordan Nwora,86.1,1.5,0.6,0.4
Ish Wainright,85.9,1.7,0.6,0.0
John Thomas,84.7,1.5,0.4,0.4
Ron Bonham,83.7,1.8,0.7,0.2
