"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Dario Å ariÄ,,6.6,3.6,3.5,2.8,1.7,1.7,1.0,0.0,,,
AndrÃ©s Nocioni,89.7,6.7,4.1,3.3,2.8,2.5,1.3,1.3,-0.2,,,
T.J. Warren,89.4,6.5,4.1,3.4,2.2,2.1,1.2,1.1,0.2,0.1,,
Pervis Ellison,87.0,6.9,4.0,3.9,2.6,1.8,1.1,0.7,0.5,0.4,0.0,0.0
Michael Kidd-Gilchrist,85.3,5.8,3.8,3.3,3.1,2.5,2.1,0.6,-0.2,,,
Buck Johnson,85.1,6.2,4.6,3.6,2.3,2.1,1.2,0.7,,,,
J.J. Hickson,84.4,6.9,4.3,3.3,1.8,1.7,1.5,1.5,0.8,,,
Willie Cauley-Stein,84.1,6.7,3.9,3.8,2.9,2.9,2.8,0.2,,,,
Adam Keefe,83.8,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4,,
Donald Royal,83.7,5.1,3.8,3.6,2.3,1.6,1.3,1.0,0.4,,,
Nemanja Bjelica,83.1,5.3,4.5,3.0,2.8,1.9,1.5,0.9,,,,
