"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Dario Å ariÄ,,6.6,3.6,3.5,2.8,1.7,1.7,1.0,0.0
T.J. Warren,89.8,6.5,4.1,3.4,2.2,2.1,1.2,1.1,0.1
AndrÃ©s Nocioni,89.7,6.7,4.1,3.3,2.8,2.5,1.3,1.3,-0.2
Al Harrington,89.6,5.9,3.9,3.8,2.6,1.6,1.2,1.0,-0.2
Pervis Ellison,86.9,6.9,4.0,3.9,2.6,1.8,0.7,0.4,0.0
Markieff Morris,86.2,6.4,4.6,4.1,3.3,1.7,1.6,1.5,0.5
Adam Keefe,85.4,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.4
Michael Kidd-Gilchrist,85.3,5.8,3.8,3.3,3.1,2.5,2.1,0.6,-0.2
Buck Johnson,85.1,6.2,4.6,3.6,2.3,2.1,1.2,0.7,
Alan Henderson,85.0,6.0,4.3,3.1,2.6,2.0,1.9,1.3,0.7
Chris Wilcox,84.8,6.0,4.4,3.4,2.6,1.3,1.1,0.6,0.2
