Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,20.0,CLE,NBA,PG,1,0,24:46,6,11,0.545,3,6,0.5,0,0,,2,3,4,0,0,2,1,15
2013-14,21.0,CLE,NBA,PG,1,1,33:51,14,17,0.824,3,6,0.5,0,0,,1,5,14,0,0,5,4,31
2014-15,22.0,CLE,NBA,PG,1,0,19:08,4,9,0.444,2,6,0.333,1,1,1.0,2,6,5,0,0,1,0,11
2016-17,24.0,CLE,NBA,PG,1,1,21:52,8,12,0.667,6,8,0.75,0,0,,2,7,14,3,0,2,1,22
2017-18,25.0,BOS,NBA,PG,1,1,27:36,6,16,0.375,1,5,0.2,0,0,,2,7,9,1,0,1,2,13
2018-19,26.0,BOS,NBA,PG,1,1,24:45,6,12,0.5,1,4,0.25,0,0,,4,9,6,1,1,1,3,13
2020-21,28.0,BRK,NBA,PG,1,1,32:00,10,15,0.667,2,6,0.333,2,3,0.667,3,5,12,2,0,1,2,24
2022-23,30.0,DAL,NBA,SG,1,1,28:32,14,21,0.667,4,8,0.5,0,0,,2,6,15,0,0,3,2,32
2024-25,32.0,DAL,NBA,SG,1,0,6:56,2,4,0.5,0,0,,0,0,,2,3,2,2,0,1,0,4
2024-25,32.0,DAL,NBA,SG,1,0,7:58,3,5,0.6,1,1,1.0,0,0,,0,3,2,2,0,2,1,7
Career,,,NBA,,10,6,227,73,122,0.598,23,50,0.46,3,4,0.75,20,54,83,11,1,19,16,172
