"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')","('Win Shares (Best to Worst)', '18')","('Win Shares (Best to Worst)', '19')"
Kyrie Irving,,10.4,9.1,8.9,8.9,7.4,7.4,6.9,6.7,5.3,5.0,4.6,4.1,3.3,2.9,,,,,
Lenny Wilkens,94.5,10.1,9.6,9.5,9.0,8.1,7.6,7.6,6.5,5.7,5.0,4.9,4.9,4.0,2.7,0.4,,,,
Joe Dumars,93.1,9.9,9.1,8.8,8.7,8.2,7.0,6.0,5.9,5.9,4.4,4.2,3.2,3.2,1.7,,,,,
Jason Terry,91.7,10.8,9.6,8.6,8.6,8.5,7.4,7.3,6.5,6.5,5.3,5.1,4.0,3.8,3.6,2.1,1.9,1.5,0.7,0.2
Andre Miller,91.2,10.3,8.8,8.8,8.3,8.0,7.0,7.0,7.0,6.2,5.9,5.4,5.3,4.6,2.9,2.2,2.2,1.0,,
Derek Harper,90.2,9.9,9.4,9.1,8.0,7.6,6.4,6.3,6.2,5.4,4.0,3.5,2.7,2.7,2.3,2.0,1.3,,,
Rod Strickland,89.6,9.3,8.8,8.5,8.1,7.4,7.1,5.7,5.2,4.9,4.3,4.1,3.7,3.7,2.2,1.7,1.3,-0.2,,
Isiah Thomas,89.5,11.2,9.1,8.8,7.6,7.6,7.4,7.0,6.7,5.8,3.7,3.4,2.3,0.2,,,,,,
Hal Greer,88.7,11.2,9.9,9.5,8.5,8.2,8.1,7.9,7.6,6.6,6.2,5.8,5.1,4.5,3.5,0.1,,,,
Maurice Cheeks,88.5,10.6,9.4,9.0,8.6,8.5,8.3,7.9,7.9,7.3,7.1,5.3,5.2,4.9,2.1,1.3,,,,
Calvin Murphy,88.0,9.2,8.8,8.3,8.0,7.7,7.4,7.4,7.2,6.8,5.4,5.0,1.6,1.3,,,,,,
