"('Thru 14 Years', 'Player')","('Thru 14 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Kyrie Irving,,10.4,9.1,8.9,8.9,7.4,7.4,6.9,6.7,5.3,5.0,4.6,4.1,3.3,2.9
Jason Terry,93.6,10.8,9.6,8.6,8.6,8.5,7.4,7.3,6.5,6.5,5.3,5.1,4.0,3.8,1.9
Lenny Wilkens,93.5,10.1,9.6,9.5,9.0,8.1,7.6,7.6,6.5,5.7,5.0,4.9,4.9,4.0,0.4
Andre Miller,93.2,10.3,8.8,8.8,8.3,8.0,7.0,7.0,7.0,6.2,5.9,5.4,5.3,4.6,2.9
Joe Dumars,93.1,9.9,9.1,8.8,8.7,8.2,7.0,6.0,5.9,5.9,4.4,4.2,3.2,3.2,1.7
DeMar DeRozan,91.5,9.9,9.6,9.0,8.8,8.8,8.5,7.4,7.3,6.3,4.7,4.0,3.2,2.5,2.3
Derek Harper,90.9,9.9,9.4,9.1,8.0,7.6,6.4,6.3,6.2,5.4,4.0,3.5,2.7,2.7,1.3
Rod Strickland,90.9,9.3,8.8,8.5,8.1,7.4,7.1,5.7,5.2,4.9,4.3,4.1,3.7,3.7,2.2
Tony Parker,89.6,9.6,9.6,9.3,8.6,8.2,8.1,7.7,7.5,7.1,7.0,5.9,4.1,3.8,3.6
Isiah Thomas,89.5,11.2,9.1,8.8,7.6,7.6,7.4,7.0,6.7,5.8,3.7,3.4,2.3,0.2,
Kyle Lowry,89.3,11.7,11.6,10.2,10.1,7.5,7.1,7.0,6.6,5.6,4.9,4.3,3.6,3.4,0.5
