Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2008-09,22,POR,NBA,PG,5,0,27,2,6,0.333,0,0,2,6,0.333,0.333,0,0,1,2,3,7,0,1,2,5,4,0,
1 Yr,1 Yr,1 Yr,1 Yr,,5,0,27,2,6,0.333,0,0,2,6,0.333,0.333,0,0,1,2,3,7,0,1,2,5,4,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,443,33,98,0.333,0,0,33,98,0.333,0.333,0,0,16,33,49,115,0,16,33,82,66,0,
