"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Jimmer Fredette,,1.1,0.8,0.3,0.2,0.0,-0.2,
Dalen Terry,75.7,1.1,0.8,0.5,,,,
Mike D'Antoni,75.1,1.0,0.8,0.3,0.0,,,
Frank Jackson,73.9,1.2,0.7,0.4,0.2,0.0,,
Salim Stoudamire,73.1,1.2,0.8,0.3,,,,
Malachi Flynn,70.9,1.0,0.8,0.5,0.5,0.0,,
Brooks Thompson,68.3,1.1,0.6,0.2,0.1,,,
Phil Rollins,67.0,1.1,0.7,0.1,,,,
Jordan Hamilton,66.9,1.6,0.8,0.3,0.2,0.1,,
Chris Duarte,66.0,0.9,0.7,0.3,0.0,,,
Morlon Wiley,65.9,1.1,0.9,0.5,0.2,0.1,0.1,-0.2
