"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Brandon Roy,,13.5,9.1,8.0,4.8,2.1,0.0,,,,,,
Tyrese Haliburton,81.4,10.4,9.0,7.6,7.0,3.5,,,,,,,
Darel Carrier,77.2,8.7,8.0,7.8,4.9,0.9,0.2,,,,,,
Isaiah Thomas,76.4,12.5,9.7,7.7,6.1,5.0,4.3,0.2,0.2,0.0,0.0,-0.2,-0.3
Glen Combs,72.7,8.7,8.6,6.7,5.1,2.7,2.5,0.0,,,,,
Gilbert Arenas,72.4,13.6,11.5,10.8,6.5,2.7,2.6,1.8,0.6,0.5,0.4,0.2,
Ben Simmons,72.3,9.2,8.2,6.9,6.0,2.2,1.8,1.0,,,,,
Jalen Brunson,70.9,11.2,8.7,8.3,7.5,5.1,2.6,2.1,,,,,
Doug Collins,70.9,10.0,7.7,7.6,6.2,4.2,1.9,0.7,-0.3,,,,
John Logan,70.5,9.2,8.3,5.2,4.3,1.0,,,,,,,
Mike Riordan,70.5,11.1,7.0,6.1,3.8,2.1,1.7,1.7,-0.1,-0.1,,,
