"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Luka DonÄiÄ,,12.0,10.2,8.8,7.7,7.6,5.9,4.9,,,,,
James Silas,88.6,13.1,9.8,7.9,7.4,7.0,5.7,5.5,2.4,0.7,0.6,,
Bobby Wanzer,87.1,11.4,10.5,9.1,7.9,7.0,6.9,5.4,4.8,1.0,,,
Larry Jones,85.7,11.8,10.9,10.6,8.8,8.1,3.7,2.9,-0.3,,,,
Gus Williams,85.1,11.6,10.2,8.5,8.3,7.7,5.9,5.1,4.2,3.6,2.8,0.1,
Donnie Freeman,83.5,9.9,9.7,8.9,7.6,7.3,5.1,3.7,3.4,2.4,,,
Michael Redd,83.4,10.8,9.7,8.0,6.2,6.1,5.8,4.6,3.2,0.8,0.6,0.1,-0.1
Archie Clark,82.5,11.4,11.0,8.1,7.9,6.2,6.2,5.6,4.0,2.7,1.7,,
Bob Davies,82.4,8.6,7.7,7.7,7.4,6.9,6.3,5.2,,,,,
Steve Francis,81.9,12.2,11.1,7.1,6.4,6.2,4.4,3.6,2.9,0.2,,,
Jim Paxson,81.5,10.2,9.5,7.7,7.5,6.5,4.8,3.4,1.4,1.3,1.2,0.3,
