"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Michael Kidd-Gilchrist,,5.8,3.8,3.3,3.1,2.5,2.1,0.6,-0.2
Austin Croshere,91.5,5.4,4.1,3.4,3.2,2.6,2.0,0.3,0.0
Gary Trent,91.2,5.5,4.0,3.3,3.1,3.0,1.7,0.4,0.1
Matt Barnes,90.1,5.9,3.7,3.0,3.0,2.3,1.0,0.7,0.4
Andr̩s Nocioni,87.4,6.7,4.1,3.3,2.8,2.5,1.3,1.3,-0.2
Trevor Ariza,87.3,6.1,3.4,3.4,3.2,2.2,2.1,1.8,0.9
Jackie Moreland,86.6,5.3,3.6,2.6,2.5,2.3,2.3,0.5,0.1
Alan Henderson,85.8,6.0,4.3,3.1,2.6,2.0,1.9,1.3,0.7
Michael Smith,85.7,5.4,3.7,3.6,3.3,3.1,2.3,2.1,
Willie Cauley-Stein,85.6,6.7,3.9,3.8,2.9,2.9,2.8,0.2,
Al Harrington,85.5,5.9,3.9,3.8,2.6,1.6,1.2,1.0,-0.2
