"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Jaden McDaniels,,6.3,4.4,3.4,2.4,1.4
Chuck Hayes,96.4,6.4,4.4,3.6,2.4,1.6
Patrick Patterson,94.4,6.1,4.1,3.8,2.4,1.6
Alan Henderson,93.8,6.0,4.3,3.1,2.0,1.3
Buck Johnson,91.7,6.2,4.6,3.6,2.1,0.7
Dick Schnittker,91.4,6.2,5.3,3.5,2.8,1.6
Matt Bonner,89.1,6.8,4.2,4.1,2.2,2.0
Tobias Harris,89.1,6.6,4.8,4.1,2.4,0.9
George Irvine,88.6,5.5,3.7,3.2,2.5,1.2
Ron Franz,88.4,5.9,3.7,3.3,2.1,0.9
Andr̩s Nocioni,88.4,6.7,4.1,3.3,2.8,2.5
