"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Jordan Hamilton,,1.6,0.8,0.3,0.2,0.1
Mike Flynn,83.4,1.7,0.8,0.3,,
Damyean Dotson,76.9,1.5,0.9,0.6,0.0,0.0
John Jenkins,76.3,1.7,0.9,0.2,0.0,-0.1
Terence Stansbury,75.9,1.5,0.6,0.3,,
Sean Kilpatrick,75.6,1.4,1.0,0.1,0.1,
Jared Butler,74.6,1.4,0.6,0.4,0.1,
Jimmer Fredette,74.5,1.1,0.8,0.3,0.2,0.0
Saben Lee,74.4,1.5,0.9,0.7,0.4,
Bubbles Hawkins,74.0,1.9,0.6,0.3,0.1,
Svi Mykhailiuk,73.8,1.6,0.8,0.8,0.3,-0.1
