Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2024-25,24,MEM,NBA,SG,3,0,38,4,7,0.571,4,7,0.571,0,0,0.857,2,2,1.0,1,6,7,4,2,1,3,3,14,0,
1 Yr,1 Yr,1 Yr,1 Yr,,3,0,38,4,7,0.571,4,7,0.571,0,0,0.857,2,2,1.0,1,6,7,4,2,1,3,3,14,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,1039,109,191,0.571,109,191,0.571,0,0,0.857,55,55,1.0,27,164,191,109,55,27,82,82,383,0,
