Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2024-25,24,MEM,NBA,SG,3,0,38,3.8,6.6,0.571,3.8,6.6,0.571,0.0,0.0,0.857,1.9,1.9,1.0,0.9,5.7,6.6,3.8,1.9,0.9,2.8,2.8,13.3,
1 Yr,1 Yr,1 Yr,1 Yr,,3,0,38,3.8,6.6,0.571,3.8,6.6,0.571,0.0,0.0,0.857,1.9,1.9,1.0,0.9,5.7,6.6,3.8,1.9,0.9,2.8,2.8,13.3,
