"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('Unnamed: 12_level_0', 'Awards')"
2013-14,25,POR,NBA,SF,2,0,7,0.0,0.0,0,0,
1 Yr,1 Yr,1 Yr,1 Yr,,2,0,7,0.0,0.0,0,0,
