Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2013-14,25,POR,NBA,SF,2,0,7,-9.7,0.0,0.0,76.7,38.7,0.0,0.0,0.0,36.2,17.3,-0.1,0.0,-0.1,-0.421,-12.8,-1.7,-14.6,0.0,
1 Yr,1 Yr,1 Yr,1 Yr,,2,0,7,-9.7,0.0,0.0,76.7,38.7,0.0,0.0,0.0,36.2,17.3,-0.1,0.0,-0.1,-0.421,-12.8,-1.7,-14.6,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,287,-9.7,0.0,0.0,76.7,38.7,0.0,0.0,0.0,36.2,17.3,-3.2,0.7,-2.5,-0.421,-12.8,-1.7,-14.6,-0.9,
