Season,Team,Lg,Salary
2005-06,Toronto Raptors,NBA,"$2,360,880"
2006-07,Milwaukee Bucks,NBA,"$2,537,880"
2007-08,Milwaukee Bucks,NBA,"$2,715,000"
2008-09,Milwaukee Bucks,NBA,"$3,448,050"
2009-10,Detroit Pistons,NBA,"$6,500,000"
2010-11,Detroit Pistons,NBA,"$7,020,000"
2011-12,Detroit Pistons,NBA,"$7,540,000"
2012-13,Detroit Pistons,NBA,"$8,060,000"
2013-14,Detroit Pistons,NBA,"$8,580,000"
2014-15,Dallas Mavericks,NBA,"$1,316,809"
2015-16,Dallas Mavericks,NBA,"$1,499,187"
Career,(may be incomplete),,"$51,577,806"
