"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Nick Richards,,5.1,4.2,3.0,1.0,0.0
Stephen Jackson,93.5,4.8,4.4,3.1,0.9,-0.1
Dorian Finney-Smith,90.7,4.9,4.4,3.3,1.4,0.1
Sam Hauser,90.4,4.9,4.4,3.4,0.6,
Kenny Carr,89.6,5.8,3.8,2.9,1.1,0.0
Gary Trent,89.3,5.5,4.0,3.1,1.7,0.1
Walt Budko,88.4,5.6,4.0,2.7,1.5,
Kurt Thomas,87.6,5.2,3.8,2.5,0.5,-0.2
Fred Hetzel,87.4,5.1,4.5,2.9,2.0,0.5
Jamario Moon,87.2,5.7,4.9,2.9,1.1,-0.3
Linas Kleiza,87.1,4.7,3.6,2.8,1.2,-0.3
