"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Davon Reed,,1.6,0.1,0.1,-0.3,,
Tony Dumas,87.2,1.6,0.0,0.0,-0.3,,
Isaac Bonga,78.5,1.8,0.1,0.0,-0.1,,
Bobby Wilson,75.4,1.6,0.2,0.0,-0.1,,
Bernard Robinson,73.3,1.7,0.3,0.1,,,
John Kuester,64.0,1.9,0.1,0.0,,,
Orlando Johnson,56.0,1.5,0.1,-0.2,,,
Johnny Juzang,53.6,1.6,0.4,-0.2,,,
Greg Grant,51.4,1.4,0.2,0.0,0.0,0.0,-0.1
Gary Phillips,50.8,1.7,0.3,0.2,0.2,-0.1,
Tracy Jackson,50.3,1.7,0.7,0.0,,,
