"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Tiago Splitter,,8.2,4.6,4.3,4.0,2.3,1.7,0.1,,,,,
George Carter,86.5,6.4,4.4,4.2,4.1,2.9,2.2,0.2,0.0,,,,
Les Hunter,84.4,8.4,5.6,4.9,2.7,2.2,2.1,-0.5,,,,,
Bison Dele,84.0,6.9,4.7,4.0,2.4,2.3,1.8,0.3,0.2,,,,
Reggie King,82.1,8.3,6.2,4.8,3.4,1.6,0.5,,,,,,
Doug Moe,82.1,9.4,5.2,4.8,4.3,1.8,,,,,,,
Adam Keefe,81.8,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4,,,
Curtis Perry,81.0,7.6,6.0,5.3,4.8,2.8,1.7,1.3,0.2,,,,
Tracy Murray,80.7,6.5,4.9,4.4,3.8,2.2,0.8,0.6,0.5,0.5,0.3,-0.1,-0.2
Mel Hutchins,80.1,6.9,5.8,4.4,3.9,3.8,2.8,0.3,,,,,
Warren Davis,79.8,8.1,5.8,5.7,3.4,3.4,3.2,,,,,,
