"('Thru 13 Years', 'Player')","('Thru 13 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Marcus Morris,,5.4,4.5,4.2,4.0,3.9,3.6,3.6,3.2,2.4,2.0,1.8,1.0,-0.2
Antoine Carr,91.3,5.5,5.4,4.3,4.0,3.8,3.5,3.3,2.4,2.2,2.1,2.1,1.2,0.7
Al Harrington,91.0,5.9,5.4,4.3,3.9,3.9,3.8,3.5,2.6,2.1,1.6,1.2,1.0,-0.2
Johnny Newman,88.6,6.7,4.5,4.4,4.1,3.7,3.7,3.1,2.8,2.8,2.7,2.3,1.2,0.3
Matt Bonner,88.4,6.8,4.4,4.2,4.1,4.0,3.7,2.5,2.2,2.1,2.0,1.8,0.8,
Kurt Rambis,88.1,4.8,4.3,4.3,4.1,4.1,3.9,2.6,2.3,2.2,1.7,1.7,1.5,0.6
Nick Collison,87.7,5.2,5.0,4.7,4.6,4.5,3.9,3.6,3.6,3.5,2.3,2.2,0.8,0.4
Sam Mitchell,87.1,6.1,5.1,5.1,4.3,3.7,3.3,3.0,2.8,2.3,2.3,2.2,0.9,0.6
Matt Barnes,86.6,6.3,5.9,4.3,4.3,3.7,3.5,3.0,3.0,2.6,2.3,1.0,0.7,0.4
Rick Fox,86.4,5.3,5.2,5.1,5.1,4.3,3.6,3.2,3.2,2.8,2.3,2.1,1.8,0.8
Corliss Williamson,86.3,5.1,4.9,4.4,4.1,3.6,3.3,3.2,2.7,2.5,1.5,0.2,-0.8,
