0
Career 1300 (81st)
Career NBA 1300 (81st)
Career Playoffs 130 (75th)
Career NBA Playoffs 130 (75th)
Career (Reg+Playoffs) 1430 (79th)
Career NBA (Reg+Playoffs) 1430 (79th)
