"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Mo Bamba,,4.5,2.5,2.2,2.0,1.8,1.7,1.0
Otto Moore,85.9,4.7,3.5,2.4,2.3,1.8,1.3,0.9
Jordan Hill,83.1,4.4,3.9,2.2,1.8,1.4,1.4,1.4
Marc Jackson,80.6,4.6,2.6,2.0,1.3,1.2,0.7,0.6
Len Elmore,80.4,3.4,2.2,2.1,2.1,1.6,1.5,0.0
Duane Causwell,80.3,3.9,2.9,2.8,1.8,1.3,1.2,0.7
Harvey Catchings,79.6,3.1,2.6,2.3,1.7,1.4,1.2,1.1
Mark Blount,79.4,6.5,2.8,2.8,1.9,1.7,1.7,0.7
Willy HernangÃ³mez,78.5,3.4,3.2,2.9,2.6,1.8,1.6,0.8
Joe Meriweather,77.8,4.8,3.8,2.6,2.6,2.3,2.2,0.8
Jim Barnes,77.7,3.4,2.9,2.4,2.1,2.1,1.1,0.3
