"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Mo Bamba,,4.5,2.5,2.2,2.0,1.8,1.7,1.0,,,
Jordan Hill,82.9,4.4,3.9,2.2,1.8,1.4,1.4,1.4,0.0,,
Marc Jackson,80.6,4.6,2.6,2.0,1.3,1.2,0.7,0.6,,,
Nat Clifton,80.0,3.7,3.3,2.4,2.1,1.8,1.6,0.5,-0.4,,
Willy HernangÃ³mez,78.5,3.4,3.2,2.9,2.6,1.8,1.6,0.8,,,
Len Elmore,78.2,4.1,3.4,2.2,2.1,2.1,1.6,1.5,0.9,0.9,0.0
Jim Barnes,77.7,3.4,2.9,2.4,2.1,2.1,1.1,0.3,,,
Manute Bol,77.0,3.9,2.4,2.0,1.7,1.3,0.8,0.2,0.1,0.0,-0.2
Mark Blount,76.4,6.5,2.8,2.8,1.9,1.7,1.7,0.7,0.7,-0.1,
Jim Davis,76.2,4.3,3.8,3.5,2.3,2.3,1.8,0.9,0.2,,
Meyers Leonard,76.2,3.0,2.8,2.4,2.2,2.1,1.4,1.1,0.6,0.3,0.0
