"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Jordan Farmar,,3.9,2.8,1.9,1.8,0.9,0.8,0.7,0.6,0.4,0.0
E'Twaun Moore,86.0,4.4,2.7,1.8,1.7,1.7,0.9,0.8,0.4,0.2,0.2
Marquis Daniels,83.2,4.2,3.2,2.5,2.0,1.3,1.3,0.9,0.6,0.5,0.1
Cameron Payne,82.5,3.6,2.4,2.3,1.9,1.4,1.1,0.8,0.5,0.5,-0.3
Kris Dunn,82.1,4.0,2.3,2.0,1.9,0.9,0.6,0.2,0.1,-0.2,
Charles Johnson,82.0,3.7,2.8,2.4,1.4,1.1,1.0,0.9,,,
Kent Bazemore,81.4,4.1,2.2,2.1,1.8,1.6,0.7,0.6,0.2,0.1,0.1
Kevin Ollie,81.2,3.8,2.4,2.4,1.4,1.1,0.9,0.6,0.1,0.0,-0.1
Frank Johnson,80.9,4.3,3.0,2.1,1.9,1.6,1.5,1.2,0.6,0.5,0.5
Keyon Dooling,80.8,3.7,3.7,2.1,1.5,1.4,1.1,0.7,0.3,0.3,0.0
Dudley Bradley,80.0,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1.0,0.0,
