"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Chandler Parsons,,7.6,7.0,5.5,4.3,3.4,1.1,0.2,0.0,-0.1,
Isaiah Hartenstein,89.6,8.1,6.8,5.5,4.6,1.6,1.1,0.5,,,
Gene Banks,87.6,7.9,6.2,5.6,4.3,3.6,3.5,,,,
Curtis Perry,86.5,7.6,6.0,5.3,4.8,2.8,1.7,1.3,0.2,,
Michael Porter Jr.,86.1,6.9,6.4,6.2,4.3,2.9,-0.2,,,,
Trooper Washington,85.6,8.3,6.9,6.3,6.0,3.4,2.2,,,,
Onyeka Okongwu,84.9,7.2,7.1,4.5,4.2,1.9,,,,,
Warren Davis,84.2,8.1,5.8,5.7,3.4,3.4,3.2,,,,
Sonny Parker,84.1,7.0,6.8,6.2,3.0,2.3,1.6,,,,
Jaren Jackson Jr.,84.0,6.6,6.4,5.4,3.5,3.3,3.0,0.7,,,
Reggie Williams,83.7,6.6,5.9,5.8,4.8,3.3,0.4,0.3,0.1,0.0,-1.1
