"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Hamady N'Diaye,,0.1,0.0,0.0,
Gary Leonard,22.4,0.1,0.0,0.0,
Ruben Boumtje-Boumtje,-10.5,0.2,0.0,0.0,
Vernon Carey Jr.,-32.8,0.2,0.1,0.0,
Dan O'Sullivan,-41.2,0.1,0.1,0.0,0.0
Arinze Onuaku,-44.3,0.3,0.0,0.0,
Joe Cooper,-46.9,0.2,0.1,0.0,
Marques Bolden,-58.5,0.3,0.0,0.0,
Tom Riker,-59.9,0.2,0.2,0.0,
Mouhamed Sene,-61.5,0.2,0.2,0.0,
Oleksiy Pecherov,-69.0,0.5,0.1,0.0,
