Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2010-11,24,WAS,NBA,C,16,0,80,2.6,3.2,.800,0.0,0.0,2.6,3.2,.800,.800,3.8,7.7,.500,1.3,3.2,4.5,0.0,1.3,3.2,1.9,11.5,9.0,107,111,
2011-12,25,WAS,NBA,C,3,0,3,0.0,17.3,.000,0.0,0.0,0.0,17.3,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,116,
2012-13,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2013-14,27,SAC,NBA,C,14,0,74,2.1,6.2,.333,0.0,0.0,2.1,6.2,.333,.333,0.0,0.7,.000,3.4,8.9,12.4,2.1,0.0,2.7,2.1,10.3,4.1,78,108,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,33,0,157,2.3,4.9,.467,0.0,0.0,2.3,4.9,.467,.467,2.0,4.2,.462,2.3,5.9,8.1,1.0,0.7,2.9,2.0,10.7,6.5,90,110,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),,19,0,83,2.5,3.7,.667,0.0,0.0,2.5,3.7,.667,.667,3.7,7.4,.500,1.2,3.1,4.3,0.0,1.2,3.1,1.8,11.1,8.6,101,111,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,14,0,74,2.1,6.2,.333,0.0,0.0,2.1,6.2,.333,.333,0.0,0.7,.000,3.4,8.9,12.4,2.1,0.0,2.7,2.1,10.3,4.1,78,108,
