"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Hamady N'Diaye,,0.1,0.0,0.0
Nate Bowman,28.7,0.1,0.0,0.0
Gary Leonard,22.4,0.1,0.0,0.0
Greg Kite,-6.3,0.1,0.1,0.0
Ruben Boumtje-Boumtje,-10.5,0.2,0.0,0.0
Keith Tower,-19.4,0.1,0.0,0.0
Vernon Carey Jr.,-32.8,0.2,0.1,0.0
Dan O'Sullivan,-37.2,0.1,0.1,0.0
Chris Engler,-39.3,0.2,0.0,0.0
Arinze Onuaku,-44.3,0.3,0.0,0.0
Joe Cooper,-46.9,0.2,0.1,0.0
