0
2012-13 Rookie of the Year (Wilt Chamberlain Trophy)
2018-19 J. Walter Kennedy Citizenship Award
2019-20 Player of the Seeding Games
2020-21 Twyman-Stokes Teammate of the Year
2021-22 NBA 75th Anniversary Team
2024 All-Star Game Most Valuable Player (Kobe Bryant Trophy)
