0
"Nov 17, 2014 Player of the Week"
"Mar 2, 2015 Player of the Week"
"Mar 20, 2017 Player of the Week"
"Jan 22, 2018 Player of the Week"
"Mar 12, 2018 Player of the Week"
"Apr 2, 2018 Player of the Week"
"Apr 1, 2019 Player of the Week"
"Jan 27, 2020 Player of the Week"
"Feb 3, 2020 Player of the Week"
"Jan 18, 2021 Player of the Week"
"Feb 22, 2021 Player of the Week"
"May 17, 2021 Player of the Week"
"Nov 22, 2021 Player of the Week"
"Oct 24, 2022 Player of the Week"
"Jan 30, 2023 Player of the Week"
"Feb 6, 2023 Player of the Week"
