"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Devin Vassell,,3.6,3.3,2.2,1.5,1.2
Jim King,95.8,3.7,3.5,2.3,1.5,1.1
Dudley Bradley,91.9,3.9,3.1,2.4,1.4,1.1
Tyler Herro,91.5,3.8,3.5,2.0,1.7,1.6
Henry Bibby,90.8,4.1,2.9,2.3,1.5,1.0
Derek Fisher,89.9,3.8,3.1,1.8,1.7,1.1
MickaÃ«l PiÃ©trus,89.3,3.6,2.8,2.1,1.5,0.6
Langston Galloway,89.1,3.4,3.3,1.4,1.3,1.3
Larry Wright,88.9,3.5,2.7,1.8,1.4,1.2
Landry Shamet,88.2,3.6,2.6,2.6,1.8,1.2
John Konchar,88.0,4.2,3.5,2.2,1.7,0.7
