"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 22_level_0', 'Awards')"
2023-24,19,BOS,NBA,SF,3,0,11,0.333,0.5,0.0,0.333,0.333,0.0,0.333,70,92.0,0,61,57,0,84,
2024-25,20,BOS,NBA,PF,5,0,15,0.0,,0.0,0.0,0.0,0.0,1.0,0,,0,0,0,0,237,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,8,0,26,0.25,0.5,0.0,0.25,0.25,0.0,0.5,53,92.0,0,46,43,0,123,
